Змінна,Значення,Примітка
weeksInYear,52,Кількість тижнів на рік

31519100-8/lumPerWatt,15,Кількість люменів на один ват для ламп розжарювання
31519100-8/timeRate,1375,Кількість робочих годин для ламп розжарювання
31519100-8/availablePowers,30;40;60;80;100;120;200,Варіанти потужностей для ламп розжарювання

31512000-8/lumPerWatt,20,Кількість люменів на один ват для галогенних ламп
31512000-8/timeRate,3000,Кількість робочих годин для галогенних ламп
31512000-8/availablePowers,3;7;10;15;20;45;60;75,Варіанти потужностей для галогенних ламп


31532900-3/lumPerWatt,60,Кількість люменів на один ват для люмінесційних ламп
31532900-3/timeRate,30000,Кількість робочих годин для люмінесційних ламп
31532900-3/availablePowers,30;40;60;80;100;120;200,Варіанти потужностей для люмінесційних ламп


31712341-2/lumPerWatt,90,Кількість люменів на один ват для світлодіодних ламп
31712341-2/timeRate,42000,Кількість робочих годин для світлодіодних ламп
31712341-2/availablePowers,2;3;5;7;8;9;10;12;15;18;20,Варіанти потужностей для світлодіодних ламп

